train_acc,train_loss,val_acc,val_loss
0.04606315789473685,4.2468486,0.057600000000000005,4.2605553
0.0797263157894737,3.9145007,0.09759999999999999,3.7398434
0.11547368421052634,3.683323,0.11199999999999999,3.6604342
0.16092631578947367,3.4419608,0.1636,3.3979664
0.20623157894736843,3.2006235,0.212,3.1339493
0.24818947368421057,2.9671419,0.2556,2.9367962
0.28640000000000004,2.7659638,0.2876000000000001,2.7152586
0.32242105263157894,2.5847142,0.31,2.5786822
0.35183157894736844,2.4494588,0.3396,2.4967928
0.37637894736842104,2.3226173,0.3752,2.348442
0.3994526315789474,2.2224448,0.3992,2.2759316
0.4177684210526316,2.1373537,0.41519999999999996,2.19785
0.43747368421052635,2.0531137,0.4136000000000001,2.1602874
0.45618947368421053,1.9771571,0.41200000000000003,2.1742027
0.46852631578947374,1.9237683,0.44880000000000003,2.0563498
0.4821052631578948,1.8698808,0.4496,1.956675
0.49305263157894735,1.8171793,0.45159999999999995,1.9969462
0.5057473684210527,1.7669071,0.47279999999999994,1.9610194
0.5169684210526316,1.7218709,0.4576,2.0112963
0.5242526315789474,1.6849265,0.46919999999999995,1.9191222
0.5331157894736842,1.6503533,0.48960000000000004,1.8604414
0.5443789473684211,1.6090236,0.48440000000000005,1.8953085
0.5539999999999999,1.581541,0.4948,1.8917891
0.5588842105263159,1.5522511,0.508,1.8086984
0.5672,1.5177033,0.502,1.84403
0.5717684210526315,1.4923792,0.5164,1.7610519
0.5769052631578947,1.4674636,0.5212,1.763188
0.5857473684210527,1.4348439,0.5108,1.784503
0.5926526315789473,1.4150946,0.5316000000000001,1.700639
0.6009684210526317,1.3835399,0.5224,1.7803888
0.6042105263157894,1.3638566,0.5267999999999999,1.712435
0.6078736842105263,1.349809,0.5292,1.7606437
0.6155578947368421,1.3240097,0.5348,1.6661012
0.6220842105263158,1.300725,0.5248,1.7806133
0.6268631578947368,1.2817168,0.5244,1.7307074
0.6291578947368421,1.2615144,0.532,1.7391462
0.6343578947368421,1.2413061,0.5384,1.7121191
0.6385052631578947,1.226545,0.5456,1.6585644
0.6457473684210526,1.2032089,0.5524000000000001,1.6556227
0.6485263157894737,1.1926879,0.548,1.6576039
0.6549263157894738,1.1659563,0.5512,1.6564375
0.659578947368421,1.1480464,0.5332000000000001,1.7576102
0.6621263157894737,1.1408194,0.5419999999999999,1.7202018
0.6668421052631579,1.1192511,0.564,1.6274377
0.6708842105263159,1.1061767,0.562,1.677128
0.6755157894736842,1.0882373,0.5588000000000001,1.7065603
0.680778947368421,1.0697342,0.5492,1.6703382
0.6830105263157894,1.056101,0.5452,1.6887361
0.6874736842105262,1.0422593,0.5716,1.6167862
0.6914947368421053,1.0268666,0.5556,1.6932731
0.6964631578947369,1.0156164,0.562,1.693657
0.6966526315789473,1.000549,0.5604,1.6539831
0.7009052631578947,0.9854356,0.5756,1.6164291
0.7083999999999999,0.9674902,0.5664,1.6602939
0.7101473684210526,0.95835966,0.564,1.6757455
0.712378947368421,0.94702625,0.5652,1.6321416
0.7176631578947368,0.9351092,0.5788,1.6503798
0.7188421052631578,0.92200387,0.5656,1.650202
0.7229052631578947,0.90897703,0.59,1.6291069
0.7281894736842105,0.8922054,0.5844,1.6447198
0.7312631578947368,0.884467,0.5776,1.6542053
0.7321052631578947,0.871267,0.5716,1.6951407
0.7375789473684211,0.8609026,0.572,1.6754237
0.7406736842105262,0.8437322,0.5744,1.6685082
0.7429473684210526,0.8364746,0.5736000000000001,1.6369296
0.7456421052631579,0.8283343,0.5768,1.6484361
0.7473684210526316,0.81329703,0.568,1.6811568
0.7502736842105263,0.8103003,0.5771999999999999,1.6552521
0.7528210526315791,0.79662615,0.5792,1.6558905
0.7589894736842104,0.78393245,0.5720000000000001,1.6846548
0.7614526315789475,0.773883,0.5831999999999999,1.6677853
0.7616210526315789,0.770382,0.5748000000000001,1.6963305
0.7666736842105263,0.75896037,0.5736,1.7014006
0.7653894736842105,0.7568431,0.5820000000000001,1.6786307
0.7687578947368421,0.7431008,0.5724,1.7080939
0.7721894736842105,0.7401195,0.5768,1.7019017
0.7708421052631579,0.73368907,0.5792,1.6977154
0.7773052631578947,0.7214622,0.5792,1.7097199
0.7775157894736842,0.71782947,0.5804,1.6810548
0.7790526315789476,0.7121579,0.58,1.6780397
0.7803578947368421,0.70924914,0.5788,1.6969014
0.7827368421052631,0.7028839,0.5872,1.6933229
0.7827157894736843,0.69589406,0.5748000000000001,1.692141
0.7849263157894738,0.6882499,0.58,1.7035289
0.7886947368421052,0.6825668,0.576,1.7038395
0.7870526315789474,0.6788259,0.574,1.7192924
0.7887157894736841,0.6788761,0.5820000000000001,1.7059224
0.7896842105263159,0.6741929,0.5788,1.7087964
0.7903368421052631,0.6676173,0.5788,1.7206008
0.7916421052631579,0.66541624,0.5788,1.728246
0.7941894736842106,0.6644767,0.5784,1.7118622
0.7938526315789475,0.6553686,0.5824,1.7272286
0.7936631578947368,0.65757114,0.5760000000000001,1.731685
0.7960421052631579,0.6528428,0.5812,1.7187643
0.7947578947368421,0.6563813,0.5776,1.727341
0.7968842105263159,0.64982474,0.5804,1.7171875
0.7954526315789474,0.6507764,0.5776,1.7202879
0.7979578947368421,0.6449973,0.5784,1.7274885
0.7996421052631579,0.6426366,0.5776,1.7280164
0.7971368421052631,0.6490295,0.5836,1.7281369
